AFI Rank,Movie Title,Year,Genre,Director,Actor,Actor,Actor,Actor,Picture
53,The Deer Hunter,1978,Drama/War,Michael Cimino,Robert De-Niro,Christopher Walken,John Cazale,Meryl Streep,/en/5/57/The_Deer_Hunter_poster.jpg
54,M*A*S*H,1970,Comedy/Drama,Robert Altman,Donald Sutherland,Elliot Gould,Tom Skerritt,Robert Duvall,/en/7/7a/MASHfilmposter.jpg
55,North by Northwest,1959,Adventure/Crime/Mystery,Alfred Hitchcock,Cary Grant,Eva Marie-Saint,James Mason,Martin Landau,/commons/8/83/Northbynorthwest1.jpg
56,Jaws,1975,Adventure/Thriller,Steven Spielberg,Roy Scheider,Robert Snow,Richard Dreyfuss,Carl Gottlieb,/en/e/eb/JAWS_Movie_poster.jpg
57,Rocky,1976,Drama/Sport,John Avildsen,Sylvester Stallone,Talia Shire,Carl Weathers,Burt Young,/en/1/18/Rocky_poster.jpg
58,The Gold Rush,1925,Adventure/Comedy/Drama,Charlie Chaplin,Charlie Chaplin,Mack Swain,Tom Murray,Henrey Burgman,/en/7/72/The_Gold_Rush.jpg
59,Nashville,1975,Comedy/Drama/Musical,Robert Altman,Keith Carradine,Karen Black,Ronnee Blackley,Jeff Goldblum,/en/7/75/Nashville_%28movie_poster%29.jpg
60,Duck Soup,1933,Comedy/Musical,Leo McCarey,Groucho Marx,Harpo Marx,Chico Marx,Zeppo Marx,/en/d/d7/Duck_Soup.jpg
61,Sullivan's Travels,1941,Adventure/Comedy/Drama,Preston Sturges,Joel McCrea,Veronica Lake,Robert Warwick,William Demarest,/en/2/23/Sullivanstravelsposter.jpg
62,American Graffiti,1973,Comedy/Drama,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat,Harrison Ford,/en/e/e6/American_graffiti_ver1.jpg
63,Cabaret,1972,Drama/Musical,Bob Fosse,Liza Minnelli,Michael York,Helmut Griem,Joel Grey,/en/3/3e/Original_movie_poster_for_Cabaret.jpg
64,Network,1976,Drama,Sidney Lumet,Faye Dunaway,William Holden,Peter Finch,Robert Duvall,/en/f/fc/Networkmovie.jpg
65,The African Queen,1951,Adventure/Drama/Romance,John Huston,Humprey Bogart,Katherine Hepburn,Robert Morley,Peter Bull,/en/2/2e/The-african-queen-1-.jpeg
66,Raiders of the Lost Ark,1981,Action/Adventure,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,/en/4/4b/Raiders.jpg
67,Who's Afraid of Virginia Woolf?,1966,Drama,Mike Nichols,Elizabeth Taylor,Richard Burton,George Segal,Sandy Dennis,/en/7/7c/Original_movie_poster_for_the_film_Who%27s_Afraid_of_Virginia_Woolf%3F.jpg
68,Unforgiven,1992,Drama/Western,Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,/en/4/4e/Unforgiven_2.jpg
69,Tootsie,1982,Comedy/Drama/Romance,Sydney Pollack,Dustin Hoffman,Jessica Lange,Teri Garr,Bill Murray,/en/a/a2/Tootsie_imp.jpg
70,A Clockwork Orange,1971,Crime/Drama/Sci-Fi,Stanley Kubrick,Malcolm McDowell,Patrick Magee,Michael Bates,John Clive,/en/4/48/Clockwork_orangeA.jpg
71,Saving Private Ryan,1998,Action/Drama,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Ed Burns,/en/a/ac/Saving_Private_Ryan_poster.jpg
72,The Shawshank Redemption,1994,Crime/Drama,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,/en/8/81/ShawshankRedemptionMoviePoster.jpg
73,Butch Cassidy and the Sundance Kid,1969,Crime/Drama,George Roy-Hill,Paul Newman,Robert Redford,Katharine Ross,Henry Jones,/en/f/fd/Butch_sundance_poster.jpg
74,The Silence of the Lambs,1991,Crime/Drama/Thriller,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence Bonney,Scott Glenn,/en/8/86/The_Silence_of_the_Lambs_poster.jpg
75,In the Heat of the Night,1967,Crime/Drama/Mystery,Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant,/en/d/d5/In_the_Heat_of_the_Night_%28film%29.jpg
76,Forrest Gump,1994,Drama/Romance,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,/en/6/67/Forrest_Gump_poster.jpg
77,All The President's Men,1976,Drama,Alan Pakula,Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam,/en/9/92/All_the_president%27s_men.jpg
78,Modern Times,1936,Comedy/Drama/Romance,Charlie Chaplin,Charlie Chaplin,Paulett Goddard,Henry Bergman,Chester Conklin,/commons/3/36/Modern_Times_poster.jpg
79,The Wild Bunch,1969,Action/Adventure,Sam Peckinpah,William Holden,Earnest Borgnine,Robert Ryan,Warren Oates,/en/0/05/The_Wild_Bunch.JPG
80,The Apartment,1960,Comedy/Drama/Romance,Billy Wilder,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,/en/b/bb/Apartment_60.jpg
81,Spartacus,1960,Adventure/Drama,Stanley Kubrick,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton,/commons/2/2f/Spartacus_sheetA.jpg
82,Sunrise,1927,Drama/Romance,F.W. Murnau,George O'Brien,Janet Gaynor,Margaret Livingston,Jane Winton,/en/5/5e/Sunrise_vintage.jpg
83,Titanic,1997,Drama/Romance,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,/en/2/22/Titanic_poster.jpg
84,Easy Rider,1969,Adventure/Drama,Dennis Hopper,Peter Fonda,Dennis Hopper,Jack Nicholson,Phil Spector,/en/3/32/EasyRider.jpg
85,A Night at the Opera,1935,Comedy/Musical,Sam Wood,Groucho Marx,Chico Marx,Harpo Marx,Kitty Carlisle,/en/4/45/A_Night_at_the_Opera_Poster.gif
86,Platoon,1986,Drama,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Forest Whitaker,/en/a/a9/Platoon_posters_86.jpg
87,12 Angry Men,1957,Crime/Drama,Sidney Lumet,Henry Fonda,Lee Cobb,Martin Balsam,John Fiedler,/en/9/91/12_angry_men.jpg
88,Bringing Up Baby,1938,Comedy/Romance,Howard Hawks,Katharine Hepburn,Cary Grant,Charles Ruggles,Walter Catlett,/commons/5/57/BabyPoster2.jpg
89,The Sixth Sense,1999,Drama/Mystery/Thriller,M. Night-Shyamlan,Bruce Willis,Haley Joel-Osment,Toni Collette,Donnie Wahlberg,/en/6/66/The_sixth_sense.jpg
90,Swing Time,1936,Comedy/Musical/Romance,George Stevens,Fred Astaire,Ginger Rogers,Victor Moore,Betty Furness,/en/1/15/Swing-Time-1935.jpg
91,Sophie's Choice,1982,Drama/Romance,Alan Pakula,Meryl Streep,Kevin Kline,Peter MacNicol,John Rothman,/en/4/47/Sophie%27s_Choice1.jpg
92,Goodfellas,1990,Crime/Drama,Martin Scorsese,Robert De-Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,/en/7/7b/Goodfellas.jpg
93,The French Connection,1971,Action/Crime/Drama,William Friedkin,Gene Hackman,Roy Scheider,Fernando Rey,Tony Lo-Bianco,/en/b/b8/TheFrenchConnection.jpg
94,Pulp Fiction,1994,Crime/Drama,Quentin Tarantino,John Travolta,Uma Thurman,Samuel Jackson,Bruce Willis,/en/8/82/Pulp_Fiction_cover.jpg
95,The Last Picture Show,1971,Drama,Peter Bogdanovich,Timothy Bottoms,Jeff Bridges,Cybill Shepherd,Cloris Leachman,/en/8/8f/The_Last_Picture_Show_%28movie_poster%29.jpg
96,Do the Right Thing,1989,Drama,Spike Lee,Danny Aiello,Ossie Davis,Ruby Dee,Richard Edson,/en/2/22/DO_THE_RIGHT_THING.jpg
97,Blade Runner,1982,Sci-Fi/Thriller,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James-Olmos,/en/5/53/Blade_Runner_poster.jpg
98,Yankee Doodle Dandy,1942,Drama/Musical,Michael Curtiz,James Cagney,Joan Leslie,Walter Huston,George Tobias,/en/2/23/Yankee_Doodle_Dandy_poster.jpeg
99,Toy Story,1995,Animation/Adventure/Comedy,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Wallace Shawn,/en/1/13/Toy_Story.jpg
100,Ben-Hur,1959,Adventure/Drama,William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet,/commons/7/74/Ben_hur_1959_poster.jpg
